beta_guess,n_guess,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
4.5,2.0,1,0.004038524627685547,0.0,0.0003905296325683594,0.0,0.002214527130126953,0.0,0.005585641070818511,0.0
4.5,2.5,1,0.004001426696777344,0.0,0.0004812876383463542,0.0,0.002241357167561849,0.0,0.007877975414238873,0.0
4.5,3.0,1,0.0040375709533691405,0.0,0.0004909038543701172,0.0,0.002264237403869629,0.0,0.009603670842394012,0.0
4.5,3.5,1,0.0040833473205566405,0.0,0.0002651214599609375,0.0,0.002174234390258789,0.0,0.00883774748094507,0.0
4.5,4.0,1,0.004079627990722656,0.0,0.00040682156880696613,0.0,0.002243224779764811,0.0,0.009081471564621031,0.0
4.5,5.0,1,0.004088306427001953,0.0,0.00025780995686848957,0.0,0.002173058191935221,0.0,0.007089822642554477,0.0
4.5,10.0,1,0.0034842491149902344,0.0,0.00040872891743977863,0.0,0.0019464890162150066,0.0,0.008806726958769598,0.0
5.0,1.0,1,0.004048633575439453,0.0,0.0002974669138590495,0.0,0.0021730502446492515,0.0,0.005877233764127941,0.0
5.0,1.5,1,0.004066276550292969,0.0,0.00037034352620442707,0.0,0.002218310038248698,0.0,0.012473935178768172,0.0
5.0,2.0,1,0.004094696044921875,0.0,0.00015838940938313803,0.0,0.0021265427271525065,0.0,0.005491640278438295,0.0
5.0,2.5,1,0.004007816314697266,0.0,0.000421603520711263,0.0,0.002214709917704264,0.0,0.004853668377520628,0.0
5.0,3.0,1,0.00408468246459961,0.0,0.0002913475036621094,0.0,0.0021880149841308595,0.0,0.006453921557304556,0.0
5.0,3.5,1,0.0040721893310546875,0.0,0.00031940142313639325,0.0,0.0021957953770955405,0.0,0.008401738832029063,0.0
5.0,4.0,1,0.004125213623046875,0.0,0.00032337506612141925,0.0,0.002224294344584147,0.0,0.0058578961211527315,0.0
5.0,5.0,1,0.004111099243164063,0.0,0.000310977300008138,0.0,0.0022110382715861,0.0,0.009963638444756218,0.0
5.0,10.0,1,0.001854705810546875,0.0,0.0006981690724690756,0.0,0.0012764374415079752,0.0,0.004809329396230494,0.0
