beta_guess,n_guess,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
7.0,1.0,0,0.21804447174072267,0.28930123647054035,0.2536728541056315,0.1947998548049668,results/exp4_initial_guess/runs/bg7.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,1.5,0,0.2680228233337402,0.1523451805114746,0.21018400192260742,0.15321204724133,results/exp4_initial_guess/runs/bg7.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,2.0,0,0.30866222381591796,0.05539186795552572,0.18202704588572183,0.13548081524976632,results/exp4_initial_guess/runs/bg7.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,2.5,0,0.33825016021728516,0.01872881253560384,0.1784894863764445,0.1490783268563472,results/exp4_initial_guess/runs/bg7.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,3.0,0,0.35984106063842775,0.08854444821675618,0.22419275442759196,0.13854817817256102,results/exp4_initial_guess/runs/bg7.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,3.5,0,0.37586040496826173,0.16914725303649902,0.27250382900238035,0.14806826686176197,results/exp4_initial_guess/runs/bg7.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,4.0,0,0.3876919746398926,0.2706569830576579,0.32917447884877526,0.15478818835680125,results/exp4_initial_guess/runs/bg7.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,4.5,0,0.39635009765625,0.397370179494222,0.396860138575236,0.17689001794891923,results/exp4_initial_guess/runs/bg7.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
7.0,5.0,0,0.4023138999938965,0.5379908879597982,0.4701523939768474,0.20851991853675042,results/exp4_initial_guess/runs/bg7.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,1.0,0,0.4139815330505371,0.28170180320739746,0.3478416681289673,0.26987465947430905,results/exp4_initial_guess/runs/bg8.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,1.5,0,0.4648702621459961,0.14077138900756836,0.30282082557678225,0.21852451323371472,results/exp4_initial_guess/runs/bg8.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
